web-scraper-order,web-scraper-start-url,link,link-href,prix,div,equip
"1679589397-1","https://www.avito.ma/fr/agadir/appartements-%C3%A0_vendre?o=39&price_min=0","Camera Icon81,200,000 DHApparemment 105 m2 haut fountyAppartementsTimeFill Iconil y a 2 ansMapPinFill IconAgadir, Haut-Founty","https://www.avito.ma/fr/hautfounty/appartements/Apparemment_105_m2_haut_founty_42456416.htm","1 200 000 DH","[{""div"":""Type""},{""div"":""Appartements, à vendre""},{""div"":""Secteur""},{""div"":""Haut-Founty""},{""div"":""Âge du bien""},{""div"":""Neuf""},{""div"":""Étage""},{""div"":""2""},{""div"":""Surface habitable""},{""div"":""105""},{""div"":""Salons""},{""div"":""1""}]","[{""equip"":""Climatisation""},{""equip"":""Terrasse""},{""equip"":""Balcon""},{""equip"":""Parking""},{""equip"":""Cuisine équipée""},{""equip"":""Ascenseur""},{""equip"":""Meublé""},{""equip"":""Sécurité""},{""equip"":""Concierge""}]"
"1679589399-2","https://www.avito.ma/fr/agadir/appartements-%C3%A0_vendre?o=39&price_min=0","Camera Icon8450,000 DHRésidence agdal 2 ème étageAppartementsTimeFill Iconil y a 2 ansMapPinFill IconAgadir, Tilila","https://www.avito.ma/fr/tilila/appartements/R%C3%A9sidence_agdal_2_%C3%A8me_%C3%A9tage_43367012.htm","450 000 DH","[{""div"":""Type""},{""div"":""Appartements, à vendre""},{""div"":""Secteur""},{""div"":""Tilila""},{""div"":""Étage""},{""div"":""2""},{""div"":""Surface habitable""},{""div"":""58""},{""div"":""Âge du bien""},{""div"":""21+ ans""},{""div"":""Salons""},{""div"":""1""}]","[{""equip"":""Concierge""},{""equip"":""Cuisine équipée""},{""equip"":""Meublé""},{""equip"":""Parking""},{""equip"":""Sécurité""}]"
"1679589401-3","https://www.avito.ma/fr/agadir/appartements-%C3%A0_vendre?o=39&price_min=0","Camera Icon6590,000 DHAppart quartier el houda à AgadirAppartementsTimeFill Iconil y a 2 ansMapPinFill IconAgadir, El Houda","https://www.avito.ma/fr/el_houda/appartements/Appart_quartier_el_houda_%C3%A0_Agadir_43604035.htm","590 000 DH","[{""div"":""Type""},{""div"":""Appartements, à vendre""},{""div"":""Secteur""},{""div"":""El Houda""},{""div"":""Âge du bien""},{""div"":""6-10 ans""},{""div"":""Frais de syndic / mois""},{""div"":""150""},{""div"":""Surface habitable""},{""div"":""50""},{""div"":""Salons""},{""div"":""1""},{""div"":""Étage""},{""div"":""4""}]","[{""equip"":""Parking""},{""equip"":""Sécurité""},{""equip"":""Cuisine équipée""},{""equip"":""Concierge""},{""equip"":""Chauffage""},{""equip"":""Climatisation""},{""equip"":""Ascenseur""},{""equip"":""Meublé""}]"
"1679589403-4","https://www.avito.ma/fr/agadir/appartements-%C3%A0_vendre?o=39&price_min=0","Camera Icon8720,000 DHAppartement en Vente à AgadirAppartementsTimeFill Iconil y a 2 ansMapPinFill IconAgadir, Cité Adrar","https://www.avito.ma/fr/cite_adrar/appartements/Appartement_en_Vente_%C3%A0_Agadir_44464925.htm","720 000 DH","[{""div"":""Type""},{""div"":""Appartements, à vendre""},{""div"":""Secteur""},{""div"":""Cité Adrar""},{""div"":""Surface habitable""},{""div"":""60""},{""div"":""Âge du bien""},{""div"":""1-5 ans""},{""div"":""Étage""},{""div"":""4""},{""div"":""Salons""},{""div"":""1""}]","[{""equip"":""Concierge""},{""equip"":""Ascenseur""},{""equip"":""Parking""},{""equip"":""Cuisine équipée""},{""equip"":""Sécurité""},{""equip"":""Duplex""},{""equip"":""Meublé""}]"
"1679589406-5","https://www.avito.ma/fr/agadir/appartements-%C3%A0_vendre?o=39&price_min=0","Camera Icon8500,000 DHmoyen standing AppartementsTimeFill Iconil y a 2 ansMapPinFill IconAgadir, Hay Salam","https://www.avito.ma/fr/hay_salam/appartements/moyen_standing__44949129.htm","500 000 DH","[{""div"":""Type""},{""div"":""Appartements, à vendre""},{""div"":""Secteur""},{""div"":""Hay Salam""},{""div"":""Frais de syndic / mois""},{""div"":""100""},{""div"":""Salons""},{""div"":""1""},{""div"":""Surface habitable""},{""div"":""65""},{""div"":""Étage""},{""div"":""2""},{""div"":""Âge du bien""},{""div"":""6-10 ans""}]","[{""equip"":""Balcon""},{""equip"":""Terrasse""},{""equip"":""Concierge""},{""equip"":""Parking""},{""equip"":""Climatisation""},{""equip"":""Sécurité""},{""equip"":""Chauffage""}]"
"1679589410-6","https://www.avito.ma/fr/agadir/appartements-%C3%A0_vendre?o=38&price_min=0","Camera Icon8300,000 DHjoli Appartement  prix accessibleAppartementsTimeFill Iconil y a 1 anMapPinFill IconAgadir, Tilila","https://www.avito.ma/fr/tilila/appartements/joli_Appartement__prix_accessible_45252614.htm","300 000 DH","[{""div"":""Type""},{""div"":""Appartements, à vendre""},{""div"":""Secteur""},{""div"":""Tilila""},{""div"":""Surface habitable""},{""div"":""51""},{""div"":""Étage""},{""div"":""4""},{""div"":""Salons""},{""div"":""1""},{""div"":""Frais de syndic / mois""},{""div"":""50""},{""div"":""Âge du bien""},{""div"":""6-10 ans""}]","[{""equip"":""Cuisine équipée""},{""equip"":""Sécurité""},{""equip"":""Concierge""},{""equip"":""Parking""}]"
"1679589414-7","https://www.avito.ma/fr/agadir/appartements-%C3%A0_vendre?o=38&price_min=0","Camera Icon4600,000 DHAppartementAppartementsTimeFill Iconil y a 1 anMapPinFill IconAgadir, Hay Salam","https://www.avito.ma/fr/hay_salam/appartements/Appartement_45497626.htm","600 000 DH","[{""div"":""Type""},{""div"":""Appartements, à vendre""},{""div"":""Secteur""},{""div"":""Hay Salam""},{""div"":""Surface habitable""},{""div"":""77""},{""div"":""Âge du bien""},{""div"":""11-20 ans""},{""div"":""Étage""},{""div"":""4""},{""div"":""Salons""},{""div"":""1""},{""div"":""Frais de syndic / mois""},{""div"":""100""}]","[]"
"1679589417-8","https://www.avito.ma/fr/agadir/appartements-%C3%A0_vendre?o=38&price_min=0","Camera Icon5450 DHAppartement en Vente à AgadirAppartementsTimeFill Iconil y a 1 anMapPinFill IconAgadir, Hay Mohammadi","https://www.avito.ma/fr/hay_mohammadi/appartements/Appartement_en_Vente_%C3%A0_Agadir_45524746.htm","450 DH","[{""div"":""Type""},{""div"":""Appartements, à vendre""},{""div"":""Secteur""},{""div"":""Hay Mohammadi""},{""div"":""Âge du bien""},{""div"":""6-10 ans""},{""div"":""Salons""},{""div"":""1""},{""div"":""Étage""},{""div"":""2""},{""div"":""Surface habitable""},{""div"":""64""}]","[{""equip"":""Balcon""},{""equip"":""Ascenseur""},{""equip"":""Parking""},{""equip"":""Sécurité""},{""equip"":""Concierge""},{""equip"":""Meublé""},{""equip"":""Climatisation""}]"
"1679589419-9","https://www.avito.ma/fr/agadir/appartements-%C3%A0_vendre?o=38&price_min=0","Camera Icon11,500,000 DHappt a vendre AppartementsTimeFill Iconil y a 1 anMapPinFill IconAgadir, Av des Far","https://www.avito.ma/fr/av_des_far/appartements/appt_a_vendre__45718962.htm","1 500 000 DH","[{""div"":""Type""},{""div"":""Appartements, à vendre""},{""div"":""Secteur""},{""div"":""Av des Far""},{""div"":""Salons""},{""div"":""2""},{""div"":""Âge du bien""},{""div"":""11-20 ans""},{""div"":""Étage""},{""div"":""5""},{""div"":""Frais de syndic / mois""},{""div"":""200""}]","[{""equip"":""Terrasse""},{""equip"":""Concierge""},{""equip"":""Climatisation""},{""equip"":""Sécurité""},{""equip"":""Ascenseur""},{""equip"":""Balcon""}]"
"1679589421-10","https://www.avito.ma/fr/agadir/appartements-%C3%A0_vendre?o=38&price_min=0","Camera Icon7490,000 DHAppartement à AgadirAppartementsTimeFill Iconil y a 1 anMapPinFill IconAgadir, Hay Mohammadi","https://www.avito.ma/fr/hay_mohammadi/appartements/Appartement_%C3%A0_Agadir_46077870.htm","490 000 DH","[{""div"":""Type""},{""div"":""Appartements, à vendre""},{""div"":""Secteur""},{""div"":""Hay Mohammadi""},{""div"":""Âge du bien""},{""div"":""Neuf""},{""div"":""Étage""},{""div"":""3""},{""div"":""Surface habitable""},{""div"":""54""},{""div"":""Salons""},{""div"":""1""}]","[{""equip"":""Ascenseur""},{""equip"":""Cuisine équipée""},{""equip"":""Parking""}]"
"1679589424-11","https://www.avito.ma/fr/agadir/appartements-%C3%A0_vendre?o=38&price_min=0","Camera Icon5230,000 DHشقةAppartementsTimeFill Iconil y a 1 anMapPinFill IconAgadir, Le centre-ville","https://www.avito.ma/fr/le_centreville/appartements/%D8%B4%D9%82%D8%A9_46170592.htm","230 000 DH","[{""div"":""Type""},{""div"":""Appartements, à vendre""},{""div"":""Secteur""},{""div"":""Le centre-ville""},{""div"":""Étage""},{""div"":""2""},{""div"":""Salons""},{""div"":""1""}]","[]"
"1679589426-12","https://www.avito.ma/fr/agadir/appartements-%C3%A0_vendre?o=38&price_min=0","Camera Icon1400,000 DHAppartementAppartementsTimeFill Iconil y a 1 anMapPinFill IconAgadir, El Houda","https://www.avito.ma/fr/el_houda/appartements/Appartement_46196988.htm","400 000 DH","[{""div"":""Type""},{""div"":""Appartements, à vendre""},{""div"":""Secteur""},{""div"":""El Houda""},{""div"":""Frais de syndic / mois""},{""div"":""100""},{""div"":""Étage""},{""div"":""2""},{""div"":""Surface habitable""},{""div"":""50""},{""div"":""Âge du bien""},{""div"":""11-20 ans""},{""div"":""Salons""},{""div"":""1""}]","[{""equip"":""Sécurité""},{""equip"":""Balcon""},{""equip"":""Terrasse""}]"
"1679589428-13","https://www.avito.ma/fr/agadir/appartements-%C3%A0_vendre?o=38&price_min=0","220,000 DHAppartementAppartementsTimeFill Iconil y a 1 anMapPinFill IconAgadir, Al Wifaq","https://www.avito.ma/fr/al_wifaq/appartements/Appartement_46255680.htm","220 000 DH","[{""div"":""Type""},{""div"":""Appartements, à vendre""},{""div"":""Secteur""},{""div"":""Al Wifaq""},{""div"":""Âge du bien""},{""div"":""6-10 ans""},{""div"":""Étage""},{""div"":""1""},{""div"":""Salons""},{""div"":""1""},{""div"":""Frais de syndic / mois""},{""div"":""50""}]","[]"
"1679589430-14","https://www.avito.ma/fr/agadir/appartements-%C3%A0_vendre?o=38&price_min=0","Camera Icon6395,000 DHAppartement à AgadirAppartementsTimeFill Iconil y a 1 anMapPinFill IconAgadir, Hay Mohammadi","https://www.avito.ma/fr/hay_mohammadi/appartements/Appartement_%C3%A0_Agadir_46483921.htm","395 000 DH","[{""div"":""Type""},{""div"":""Appartements, à vendre""},{""div"":""Secteur""},{""div"":""Hay Mohammadi""},{""div"":""Surface habitable""},{""div"":""55""},{""div"":""Étage""},{""div"":""3""},{""div"":""Âge du bien""},{""div"":""6-10 ans""},{""div"":""Frais de syndic / mois""},{""div"":""80""},{""div"":""Salons""},{""div"":""1""}]","[{""equip"":""Sécurité""},{""equip"":""Terrasse""},{""equip"":""Balcon""}]"
"1679589433-15","https://www.avito.ma/fr/agadir/appartements-%C3%A0_vendre?o=38&price_min=0","360,000 DHappartement a vendre AppartementsTimeFill Iconil y a 1 anMapPinFill IconAgadir, Cité Adrar","https://www.avito.ma/fr/cite_adrar/appartements/appartement_a_vendre__46499675.htm","360 000 DH","[{""div"":""Type""},{""div"":""Appartements, à vendre""},{""div"":""Secteur""},{""div"":""Cité Adrar""},{""div"":""Étage""},{""div"":""4""},{""div"":""Salons""},{""div"":""1""},{""div"":""Frais de syndic / mois""},{""div"":""70""},{""div"":""Surface habitable""},{""div"":""51""},{""div"":""Âge du bien""},{""div"":""6-10 ans""}]","[]"
"1679589436-16","https://www.avito.ma/fr/agadir/appartements-%C3%A0_vendre?o=38&price_min=0","Camera Icon8340,000 DHAppartement en Vente à AgadirAppartementsTimeFill Iconil y a 1 anMapPinFill IconAgadir, Hay Al Farah","https://www.avito.ma/fr/hay_al_farah/appartements/Appartement_en_Vente_%C3%A0_Agadir_46640791.htm","340 000 DH","[{""div"":""Type""},{""div"":""Appartements, à vendre""},{""div"":""Secteur""},{""div"":""Hay Al Farah""},{""div"":""Étage""},{""div"":""Rez de chaussée""},{""div"":""Salons""},{""div"":""1""},{""div"":""Surface habitable""},{""div"":""54""}]","[]"
"1679589438-17","https://www.avito.ma/fr/agadir/appartements-%C3%A0_vendre?o=38&price_min=0","Camera Icon11,200,000 DHAppartementAppartementsTimeFill Iconil y a 1 anMapPinFill IconAgadir, Secteur Touristique","https://www.avito.ma/fr/secteur_touristique/appartements/Appartement_46677042.htm","1 200 000 DH","[{""div"":""Type""},{""div"":""Appartements, à vendre""},{""div"":""Secteur""},{""div"":""Secteur Touristique""},{""div"":""Étage""},{""div"":""2""}]","[]"
"1679589441-18","https://www.avito.ma/fr/agadir/appartements-%C3%A0_vendre?o=38&price_min=0","Camera Icon7480,000 DHAppartementAppartementsTimeFill Iconil y a 1 anMapPinFill IconAgadir, Hay Salam","https://www.avito.ma/fr/hay_salam/appartements/Appartement_46791830.htm","480 000 DH","[{""div"":""Type""},{""div"":""Appartements, à vendre""},{""div"":""Secteur""},{""div"":""Hay Salam""}]","[]"
"1679589443-19","https://www.avito.ma/fr/agadir/appartements-%C3%A0_vendre?o=38&price_min=0","Camera Icon3500,000 DHAppartement à vendre à AgadirAppartementsTimeFill Iconil y a 1 anMapPinFill IconAgadir, Hay Salam","https://www.avito.ma/fr/hay_salam/appartements/Appartement_%C3%A0_vendre_%C3%A0_Agadir_46909496.htm","500 000 DH","[{""div"":""Type""},{""div"":""Appartements, à vendre""},{""div"":""Secteur""},{""div"":""Hay Salam""},{""div"":""Âge du bien""},{""div"":""11-20 ans""},{""div"":""Salons""},{""div"":""1""},{""div"":""Étage""},{""div"":""3""},{""div"":""Frais de syndic / mois""},{""div"":""100""},{""div"":""Surface habitable""},{""div"":""69""}]","[{""equip"":""Balcon""},{""equip"":""Sécurité""},{""equip"":""Cuisine équipée""},{""equip"":""Parking""}]"
"1679589445-20","https://www.avito.ma/fr/agadir/appartements-%C3%A0_vendre?o=38&price_min=0","400,000 DHAppartement à AgadirAppartementsTimeFill Iconil y a 1 anMapPinFill IconAgadir, Hay Mohammadi","https://www.avito.ma/fr/hay_mohammadi/appartements/Appartement_%C3%A0_Agadir_47000703.htm","400 000 DH","[{""div"":""Type""},{""div"":""Appartements, à vendre""},{""div"":""Secteur""},{""div"":""Hay Mohammadi""},{""div"":""Âge du bien""},{""div"":""6-10 ans""},{""div"":""Surface habitable""},{""div"":""60""},{""div"":""Frais de syndic / mois""},{""div"":""1400""},{""div"":""Salons""},{""div"":""1""},{""div"":""Étage""},{""div"":""1""}]","[{""equip"":""Sécurité""},{""equip"":""Balcon""},{""equip"":""Parking""},{""equip"":""Ascenseur""},{""equip"":""Meublé""}]"
"1679589447-21","https://www.avito.ma/fr/agadir/appartements-%C3%A0_vendre?o=38&price_min=0","Camera Icon8950,000 DHAppartement AppartementsTimeFill Iconil y a 1 anMapPinFill IconAgadir, Hay Mohammadi","https://www.avito.ma/fr/hay_mohammadi/appartements/Appartement__47066121.htm","950 000 DH","[{""div"":""Type""},{""div"":""Appartements, à vendre""},{""div"":""Secteur""},{""div"":""Hay Mohammadi""},{""div"":""Étage""},{""div"":""3""},{""div"":""Surface habitable""},{""div"":""100""},{""div"":""Salons""},{""div"":""1""},{""div"":""Âge du bien""},{""div"":""6-10 ans""}]","[{""equip"":""Concierge""},{""equip"":""Parking""},{""equip"":""Ascenseur""},{""equip"":""Balcon""},{""equip"":""Sécurité""},{""equip"":""Climatisation""},{""equip"":""Cuisine équipée""},{""equip"":""Duplex""}]"
"1679589450-22","https://www.avito.ma/fr/agadir/appartements-%C3%A0_vendre?o=38&price_min=0","Camera Icon5460,000 DHAppartement en Vente à AgadirAppartementsTimeFill Iconil y a 1 anMapPinFill IconAgadir, Hay Salam","https://www.avito.ma/fr/hay_salam/appartements/Appartement_en_Vente_%C3%A0_Agadir_47204914.htm","460 000 DH","[{""div"":""Type""},{""div"":""Appartements, à vendre""},{""div"":""Secteur""},{""div"":""Hay Salam""},{""div"":""Surface habitable""},{""div"":""62""},{""div"":""Salons""},{""div"":""1""},{""div"":""Étage""},{""div"":""1""}]","[{""equip"":""Balcon""},{""equip"":""Ascenseur""},{""equip"":""Parking""}]"
"1679589452-23","https://www.avito.ma/fr/agadir/appartements-%C3%A0_vendre?o=38&price_min=0","Camera Icon61,114,000 DHbel appart haut standingAppartementsTimeFill Iconil y a 1 anMapPinFill IconAgadir, El Houda","https://www.avito.ma/fr/el_houda/appartements/bel_appart_haut_standing_47295867.htm","1 114 000 DH","[{""div"":""Type""},{""div"":""Appartements, à vendre""},{""div"":""Secteur""},{""div"":""El Houda""},{""div"":""Étage""},{""div"":""3""},{""div"":""Salons""},{""div"":""1""}]","[]"
"1679589455-24","https://www.avito.ma/fr/agadir/appartements-%C3%A0_vendre?o=38&price_min=0","Camera Icon8520,000 DHAppartement à vendre hay mohamadi AgadirAppartementsTimeFill Iconil y a 1 anMapPinFill IconAgadir, Hay Mohammadi","https://www.avito.ma/fr/hay_mohammadi/appartements/Appartement_%C3%A0_vendre_hay_mohamadi_Agadir_47441017.htm","520 000 DH","[{""div"":""Type""},{""div"":""Appartements, à vendre""},{""div"":""Secteur""},{""div"":""Hay Mohammadi""},{""div"":""Frais de syndic / mois""},{""div"":""125""},{""div"":""Salons""},{""div"":""1""},{""div"":""Âge du bien""},{""div"":""11-20 ans""},{""div"":""Étage""},{""div"":""3""},{""div"":""Surface habitable""},{""div"":""59""}]","[{""equip"":""Sécurité""},{""equip"":""Ascenseur""},{""equip"":""Parking""}]"
"1679589457-25","https://www.avito.ma/fr/agadir/appartements-%C3%A0_vendre?o=38&price_min=0","Camera Icon7800,000 DHappartement de luxe AppartementsTimeFill Iconil y a 1 anMapPinFill IconAgadir, Hay Dakhla","https://www.avito.ma/fr/hay_dakhla/appartements/appartement_de_luxe__47551440.htm","800 000 DH","[{""div"":""Type""},{""div"":""Appartements, à vendre""},{""div"":""Secteur""},{""div"":""Hay Dakhla""},{""div"":""Étage""},{""div"":""Rez de chaussée""},{""div"":""Salons""},{""div"":""1""},{""div"":""Frais de syndic / mois""},{""div"":""100""},{""div"":""Surface habitable""},{""div"":""68""}]","[]"
"1679589459-26","https://www.avito.ma/fr/agadir/appartements-%C3%A0_vendre?o=38&price_min=0","Camera Icon8860,000 DHAppartement en Vente à AgadirAppartementsTimeFill Iconil y a 1 anMapPinFill IconAgadir, Hay Salam","https://www.avito.ma/fr/hay_salam/appartements/Appartement_en_Vente_%C3%A0_Agadir_47647740.htm","860 000 DH","[{""div"":""Type""},{""div"":""Appartements, à vendre""},{""div"":""Secteur""},{""div"":""Hay Salam""},{""div"":""Surface habitable""},{""div"":""100""},{""div"":""Frais de syndic / mois""},{""div"":""100""},{""div"":""Âge du bien""},{""div"":""11-20 ans""},{""div"":""Salons""},{""div"":""1""},{""div"":""Étage""},{""div"":""3""}]","[{""equip"":""Concierge""},{""equip"":""Climatisation""},{""equip"":""Sécurité""},{""equip"":""Balcon""},{""equip"":""Parking""},{""equip"":""Chauffage""}]"
"1679589461-27","https://www.avito.ma/fr/agadir/appartements-%C3%A0_vendre?o=38&price_min=0","550,000 DHAppartement en Vente à AgadirAppartementsTimeFill Iconil y a 1 anMapPinFill IconAgadir, Ville Nouvelle","https://www.avito.ma/fr/ville_nouvelle/appartements/Appartement_en_Vente_%C3%A0_Agadir_47785276.htm","550 000 DH","[{""div"":""Type""},{""div"":""Appartements, à vendre""},{""div"":""Secteur""},{""div"":""Ville Nouvelle""},{""div"":""Étage""},{""div"":""2""},{""div"":""Salons""},{""div"":""1""},{""div"":""Surface habitable""},{""div"":""85""}]","[]"
"1679589463-28","https://www.avito.ma/fr/agadir/appartements-%C3%A0_vendre?o=38&price_min=0","Camera Icon84,200,000 DHAppartement en Vente à FountyAppartementsTimeFill Iconil y a 1 anMapPinFill IconAgadir, Founty","https://www.avito.ma/fr/founty/appartements/Appartement_en_Vente_%C3%A0_Founty_45942695.htm","4 200 000 DH","[{""div"":""Type""},{""div"":""Appartements, à vendre""},{""div"":""Secteur""},{""div"":""Founty""},{""div"":""Étage""},{""div"":""1""},{""div"":""Salons""},{""div"":""1""},{""div"":""Surface habitable""},{""div"":""120""}]","[{""equip"":""Meublé""},{""equip"":""Ascenseur""},{""equip"":""Balcon""},{""equip"":""Sécurité""},{""equip"":""Parking""},{""equip"":""Cuisine équipée""},{""equip"":""Duplex""},{""equip"":""Climatisation""},{""equip"":""Concierge""},{""equip"":""Terrasse""}]"
"1679589466-29","https://www.avito.ma/fr/agadir/appartements-%C3%A0_vendre?o=38&price_min=0","Camera Icon71,400,000 DH96 متر شقه و36متر لكورAppartementsTimeFill Iconil y a 1 anMapPinFill IconAgadir, El Houda","https://www.avito.ma/fr/el_houda/appartements/96_%D9%85%D8%AA%D8%B1_%D8%B4%D9%82%D9%87_%D9%8836%D9%85%D8%AA%D8%B1_%D9%84%D9%83%D9%88%D8%B1_47886074.htm","1 400 000 DH","[{""div"":""Type""},{""div"":""Appartements, à vendre""},{""div"":""Secteur""},{""div"":""El Houda""},{""div"":""Étage""},{""div"":""1""}]","[]"
"1679589468-30","https://www.avito.ma/fr/agadir/appartements-%C3%A0_vendre?o=38&price_min=0","Camera Icon4500,000 DHStudio de 51m en Vente à AgadirAppartementsTimeFill Iconil y a 1 anMapPinFill IconAgadir, Al Wifaq","https://www.avito.ma/fr/al_wifaq/appartements/Studio_de_51m_en_Vente_%C3%A0_Agadir_46916118.htm","500 000 DH","[{""div"":""Type""},{""div"":""Appartements, à vendre""},{""div"":""Secteur""},{""div"":""Al Wifaq""},{""div"":""Étage""},{""div"":""3""},{""div"":""Frais de syndic / mois""},{""div"":""200""},{""div"":""Salons""},{""div"":""1""},{""div"":""Surface habitable""},{""div"":""51""},{""div"":""Âge du bien""},{""div"":""1-5 ans""}]","[{""equip"":""Cuisine équipée""},{""equip"":""Chauffage""},{""equip"":""Parking""},{""equip"":""Balcon""},{""equip"":""Climatisation""},{""equip"":""Ascenseur""},{""equip"":""Concierge""},{""equip"":""Sécurité""}]"
"1679589470-31","https://www.avito.ma/fr/agadir/appartements-%C3%A0_vendre?o=38&price_min=0","Camera Icon7950,000 DHAppartement en Vente à AgadirAppartementsTimeFill Iconil y a 1 anMapPinFill IconAgadir, Hay Mohammadi","https://www.avito.ma/fr/hay_mohammadi/appartements/Appartement_en_Vente_%C3%A0_Agadir_47987057.htm","950 000 DH","[{""div"":""Type""},{""div"":""Appartements, à vendre""},{""div"":""Secteur""},{""div"":""Hay Mohammadi""},{""div"":""Âge du bien""},{""div"":""Neuf""},{""div"":""Salons""},{""div"":""2""},{""div"":""Surface habitable""},{""div"":""110""},{""div"":""Frais de syndic / mois""},{""div"":""300""},{""div"":""Étage""},{""div"":""2""}]","[{""equip"":""Balcon""},{""equip"":""Ascenseur""},{""equip"":""Concierge""},{""equip"":""Cuisine équipée""}]"
"1679589473-32","https://www.avito.ma/fr/agadir/appartements-%C3%A0_vendre?o=38&price_min=0","Camera Icon6650,000 DHAppartement en Vente à AgadirAppartementsTimeFill Iconil y a 1 anMapPinFill IconAgadir, Hay Mohammadi","https://www.avito.ma/fr/hay_mohammadi/appartements/Appartement_en_Vente_%C3%A0_Agadir_47987560.htm","650 000 DH","[{""div"":""Type""},{""div"":""Appartements, à vendre""},{""div"":""Secteur""},{""div"":""Hay Mohammadi""},{""div"":""Frais de syndic / mois""},{""div"":""300""},{""div"":""Surface habitable""},{""div"":""65""},{""div"":""Salons""},{""div"":""1""},{""div"":""Étage""},{""div"":""1""},{""div"":""Âge du bien""},{""div"":""Neuf""}]","[{""equip"":""Cuisine équipée""},{""equip"":""Balcon""},{""equip"":""Ascenseur""},{""equip"":""Concierge""}]"
"1679589475-33","https://www.avito.ma/fr/agadir/appartements-%C3%A0_vendre?o=38&price_min=0","Camera Icon8650,000 DHAppartementAppartementsTimeFill Iconil y a 1 anMapPinFill IconAgadir, El Houda","https://www.avito.ma/fr/el_houda/appartements/Appartement_47731705.htm","650 000 DH","[{""div"":""Type""},{""div"":""Appartements, à vendre""},{""div"":""Secteur""},{""div"":""El Houda""},{""div"":""Salons""},{""div"":""1""},{""div"":""Étage""},{""div"":""2""}]","[{""equip"":""Balcon""},{""equip"":""Terrasse""},{""equip"":""Climatisation""},{""equip"":""Sécurité""},{""equip"":""Parking""},{""equip"":""Cuisine équipée""},{""equip"":""Meublé""},{""equip"":""Ascenseur""},{""equip"":""Concierge""}]"
"1679589477-34","https://www.avito.ma/fr/agadir/appartements-%C3%A0_vendre?o=38&price_min=0","Camera Icon1680,000 DHبيع شقة ممتازة بواجهتين مجهزة وسط أكاديرAppartementsTimeFill Iconil y a 1 anMapPinFill IconAgadir, Amicales","https://www.avito.ma/fr/amicales/appartements/%D8%A8%D9%8A%D8%B9_%D8%B4%D9%82%D8%A9_%D9%85%D9%85%D8%AA%D8%A7%D8%B2%D8%A9_%D8%A8%D9%88%D8%A7%D8%AC%D9%87%D8%AA%D9%8A%D9%86_%D9%85%D8%AC%D9%87%D8%B2%D8%A9_%D9%88%D8%B3%D8%B7_%D8%A3%D9%83%D8%A7%D8%AF%D9%8A%D8%B1_48026452.htm","680 000 DH","[{""div"":""Type""},{""div"":""Appartements, à vendre""},{""div"":""Secteur""},{""div"":""Amicales""},{""div"":""Âge du bien""},{""div"":""11-20 ans""},{""div"":""Salons""},{""div"":""1""},{""div"":""Étage""},{""div"":""2""},{""div"":""Surface habitable""},{""div"":""77""},{""div"":""Frais de syndic / mois""},{""div"":""50""}]","[{""equip"":""Terrasse""},{""equip"":""Parking""},{""equip"":""Balcon""},{""equip"":""Cuisine équipée""},{""equip"":""Concierge""},{""equip"":""Meublé""}]"
"1679589479-35","https://www.avito.ma/fr/agadir/appartements-%C3%A0_vendre?o=38&price_min=0","Camera Icon61,100,000 DHAppartement neuf Les Jardins d'AgadirAppartementsTimeFill Iconil y a 1 anMapPinFill IconAgadir, Hay Massira","https://www.avito.ma/fr/hay_massira/appartements/Appartement_neuf_Les_Jardins_d_Agadir_48063903.htm","1 100 000 DH","[{""div"":""Type""},{""div"":""Appartements, à vendre""},{""div"":""Secteur""},{""div"":""Hay Massira""},{""div"":""Surface habitable""},{""div"":""77""},{""div"":""Âge du bien""},{""div"":""Neuf""},{""div"":""Étage""},{""div"":""4""},{""div"":""Salons""},{""div"":""1""}]","[]"
"1679589482-36","https://www.avito.ma/fr/agadir/appartements-%C3%A0_vendre?o=38&price_min=0","Camera Icon7250,000 DHAppartement Tadart Anza 60m2AppartementsTimeFill Iconil y a 1 anMapPinFill IconAgadir, Haut Anza","https://www.avito.ma/fr/haut_anza/appartements/Appartement_Tadart_Anza_60m2_48095659.htm","250 000 DH","[{""div"":""Type""},{""div"":""Appartements, à vendre""},{""div"":""Secteur""},{""div"":""Haut Anza""}]","[]"
"1679589484-37","https://www.avito.ma/fr/agadir/appartements-%C3%A0_vendre?o=38&price_min=0","Camera Icon82,700,000 DHAppartement en Vente à marinaAppartementsTimeFill Iconil y a 1 anMapPinFill IconAgadir, Marina","https://www.avito.ma/fr/marina/appartements/Appartement_en_Vente_%C3%A0_marina_47759516.htm","2 700 000 DH","[{""div"":""Type""},{""div"":""Appartements, à vendre""},{""div"":""Secteur""},{""div"":""Marina""},{""div"":""Étage""},{""div"":""2""},{""div"":""Surface habitable""},{""div"":""110""}]","[{""equip"":""Parking""},{""equip"":""Climatisation""},{""equip"":""Cuisine équipée""},{""equip"":""Meublé""},{""equip"":""Terrasse""},{""equip"":""Ascenseur""},{""equip"":""Concierge""},{""equip"":""Sécurité""}]"
