web-scraper-order,web-scraper-start-url,link,link-href,prix,div,equip
"1679592175-1133","https://www.avito.ma/fr/agadir/appartements-%C3%A0_vendre?o=06&price_min=0","Camera Icon81,500,000 DHappartement à vendre à AgadirAppartementsTimeFill Iconil y a 2 semainesMapPinFill IconAgadir, Charaf","https://www.avito.ma/fr/charaf/appartements/appartement_%C3%A0_vendre_%C3%A0_Agadir_52485371.htm","1 500 000 DH","[{""div"":""Type""},{""div"":""Appartements, à vendre""},{""div"":""Secteur""},{""div"":""Charaf""},{""div"":""Surface habitable""},{""div"":""120""},{""div"":""Frais de syndic / mois""},{""div"":""200""},{""div"":""Étage""},{""div"":""3""},{""div"":""Salons""},{""div"":""1""}]","[{""equip"":""Balcon""},{""equip"":""Sécurité""},{""equip"":""Ascenseur""},{""equip"":""Terrasse""},{""equip"":""Concierge""}]"
"1679592178-1134","https://www.avito.ma/fr/agadir/appartements-%C3%A0_vendre?o=06&price_min=0","Camera Icon11,000,000 DHAppartement 104m² en Vente à AgadirAppartementsTimeFill Iconil y a 2 semainesMapPinFill IconAgadir, Hay Mohammadi","https://www.avito.ma/fr/hay_mohammadi/appartements/Appartement_104m%C2%B2_en_Vente_%C3%A0_Agadir_52488098.htm","1 000 000 DH","[{""div"":""Type""},{""div"":""Appartements, à vendre""},{""div"":""Secteur""},{""div"":""Hay Mohammadi""},{""div"":""Surface habitable""},{""div"":""104""},{""div"":""Salons""},{""div"":""1""},{""div"":""Étage""},{""div"":""8""},{""div"":""Âge du bien""},{""div"":""6-10 ans""}]","[{""equip"":""Balcon""},{""equip"":""Climatisation""},{""equip"":""Chauffage""},{""equip"":""Terrasse""},{""equip"":""Concierge""},{""equip"":""Cuisine équipée""},{""equip"":""Parking""},{""equip"":""Ascenseur""},{""equip"":""Meublé""},{""equip"":""Sécurité""}]"
"1679592180-1135","https://www.avito.ma/fr/agadir/appartements-%C3%A0_vendre?o=06&price_min=0","Camera Icon538,000 DHبرطما طباق 4AppartementsTimeFill Iconil y a 2 semainesMapPinFill IconAgadir, Cité Adrar","https://www.avito.ma/fr/cite_adrar/appartements/%D8%A8%D8%B1%D8%B7%D9%85%D8%A7_%D8%B7%D8%A8%D8%A7%D9%82_4_52489393.htm","38 000 DH","[{""div"":""Type""},{""div"":""Appartements, à vendre""},{""div"":""Secteur""},{""div"":""Cité Adrar""},{""div"":""Étage""},{""div"":""3""},{""div"":""Salons""},{""div"":""1""},{""div"":""Frais de syndic / mois""},{""div"":""38000""},{""div"":""Surface habitable""},{""div"":""56""},{""div"":""Âge du bien""},{""div"":""11-20 ans""}]","[]"
"1679592182-1136","https://www.avito.ma/fr/agadir/appartements-%C3%A0_vendre?o=06&price_min=0","Camera Icon8920,000 DHشقة للبيع بفونتي العليا Appart haut founty AppartementsTimeFill Iconil y a 2 semainesMapPinFill IconAgadir, Haut-Founty","https://www.avito.ma/fr/hautfounty/appartements/%D8%B4%D9%82%D8%A9_%D9%84%D9%84%D8%A8%D9%8A%D8%B9_%D8%A8%D9%81%D9%88%D9%86%D8%AA%D9%8A_%D8%A7%D9%84%D8%B9%D9%84%D9%8A%D8%A7_Appart_haut_founty__52492740.htm","920 000 DH","[{""div"":""Type""},{""div"":""Appartements, à vendre""},{""div"":""Secteur""},{""div"":""Haut-Founty""},{""div"":""Surface habitable""},{""div"":""82""},{""div"":""Étage""},{""div"":""Rez de chaussée""},{""div"":""Salons""},{""div"":""1""}]","[]"
"1679592185-1137","https://www.avito.ma/fr/agadir/appartements-%C3%A0_vendre?o=06&price_min=0","Camera Icon8300 DHappartement meublé 1er étage à louerAppartementsTimeFill Iconil y a 2 semainesMapPinFill IconAgadir, Hay Salam","https://www.avito.ma/fr/hay_salam/appartements/appartement_meubl%C3%A9_1er_%C3%A9tage_%C3%A0_louer_52495316.htm","300 DH","[{""div"":""Type""},{""div"":""Appartements, à vendre""},{""div"":""Secteur""},{""div"":""Hay Salam""},{""div"":""Salons""},{""div"":""1""},{""div"":""Étage""},{""div"":""1""},{""div"":""Surface habitable""},{""div"":""54""},{""div"":""Frais de syndic / mois""},{""div"":""100""}]","[{""equip"":""Cuisine équipée""},{""equip"":""Balcon""},{""equip"":""Meublé""},{""equip"":""Parking""},{""equip"":""Sécurité""}]"
"1679592189-1138","https://www.avito.ma/fr/agadir/appartements-%C3%A0_vendre?o=06&price_min=0","Camera Icon6550,000 DHAppartement 70m² en Vente à AgadirAppartementsTimeFill Iconil y a 2 semainesMapPinFill IconAgadir, Hay Salam","https://www.avito.ma/fr/hay_salam/appartements/Appartement_70m%C2%B2_en_Vente_%C3%A0_Agadir_52495741.htm","550 000 DH","[{""div"":""Type""},{""div"":""Appartements, à vendre""},{""div"":""Secteur""},{""div"":""Hay Salam""},{""div"":""Surface habitable""},{""div"":""70""},{""div"":""Âge du bien""},{""div"":""Neuf""},{""div"":""Étage""},{""div"":""3""},{""div"":""Salons""},{""div"":""1""}]","[]"
"1679592191-1139","https://www.avito.ma/fr/agadir/appartements-%C3%A0_vendre?o=06&price_min=0","Camera Icon1800,000 DHAppartement a salam 3 chambresAppartementsTimeFill Iconil y a 2 semainesMapPinFill IconAgadir, Hay Salam","https://www.avito.ma/fr/hay_salam/appartements/Appartement_a_salam_3_chambres_51706509.htm","800 000 DH","[{""div"":""Type""},{""div"":""Appartements, à vendre""},{""div"":""Secteur""},{""div"":""Hay Salam""},{""div"":""Étage""},{""div"":""Rez de chaussée""},{""div"":""Salons""},{""div"":""2""},{""div"":""Surface habitable""},{""div"":""96""},{""div"":""Âge du bien""},{""div"":""Neuf""}]","[{""equip"":""Parking""}]"
"1679592193-1140","https://www.avito.ma/fr/agadir/appartements-%C3%A0_vendre?o=06&price_min=0","Camera Icon8440,000 DHشقة بحي المحمديAppartementsTimeFill Iconil y a 2 semainesMapPinFill IconAgadir, Hay Mohammadi","https://www.avito.ma/fr/hay_mohammadi/appartements/%D8%B4%D9%82%D8%A9_%D8%A8%D8%AD%D9%8A_%D8%A7%D9%84%D9%85%D8%AD%D9%85%D8%AF%D9%8A_52499900.htm","440 000 DH","[{""div"":""Type""},{""div"":""Appartements, à vendre""},{""div"":""Secteur""},{""div"":""Hay Mohammadi""},{""div"":""Salons""},{""div"":""1""},{""div"":""Surface habitable""},{""div"":""60""},{""div"":""Âge du bien""},{""div"":""Neuf""},{""div"":""Étage""},{""div"":""Rez de chaussée""},{""div"":""Frais de syndic / mois""},{""div"":""50""}]","[{""equip"":""Sécurité""}]"
"1679592196-1141","https://www.avito.ma/fr/agadir/appartements-%C3%A0_vendre?o=06&price_min=0","Camera Icon6410,000 DHappartement a tilila res tazerzitAppartementsTimeFill Iconil y a 1 semaineMapPinFill IconAgadir, Hay Salam","https://www.avito.ma/fr/hay_salam/appartements/appartement_a_tilila_res_tazerzit_52501972.htm","410 000 DH","[{""div"":""Type""},{""div"":""Appartements, à vendre""},{""div"":""Secteur""},{""div"":""Hay Salam""},{""div"":""Salons""},{""div"":""1""},{""div"":""Étage""},{""div"":""2""},{""div"":""Surface habitable""},{""div"":""53""}]","[{""equip"":""Parking""},{""equip"":""Sécurité""},{""equip"":""Cuisine équipée""},{""equip"":""Balcon""}]"
"1679592198-1142","https://www.avito.ma/fr/agadir/appartements-%C3%A0_vendre?o=06&price_min=0","Camera Icon8520,000 DHAppartement a hay salam res inbiaatAppartementsTimeFill Iconil y a 1 semaineMapPinFill IconAgadir, Hay Salam","https://www.avito.ma/fr/hay_salam/appartements/Appartement_a_hay_salam_res_inbiaat_52501979.htm","520 000 DH","[{""div"":""Type""},{""div"":""Appartements, à vendre""},{""div"":""Secteur""},{""div"":""Hay Salam""},{""div"":""Étage""},{""div"":""Rez de chaussée""},{""div"":""Âge du bien""},{""div"":""11-20 ans""},{""div"":""Surface habitable""},{""div"":""54""},{""div"":""Salons""},{""div"":""1""}]","[{""equip"":""Parking""},{""equip"":""Cuisine équipée""}]"
